Jahr,Temperatur_Celsius_Mittel_Tagesdurchschnitt,Temperatur_Celsius_Mittel_Tagesminimum,Temperatur_Celsius_Mittel_Tagesmaximum,Temperatur_Celsius_Maximum,Temperatur_Celsius_Minimum,Sonnenscheindauer_Stunden_Summe,Niederschlag_Millimeter_Summe,Niederschlag_Millimeter_Maximum_Tagesmaximum,Eistage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Sommertage_Anzahl,Tropennaechte_Anzahl
2003,9.603333333333332,6.069666666666666,14.006666666666662,32.74666666666666,-10.24,1660.51,864.9699999999999,45.77333333333334,18.366666666666667,69.13333333333334,8.566666666666666,47.266666666666666,0.26666666666666666
2004,9.619333333333334,6.073666666666666,14.030999999999997,32.733333333333334,-10.313333333333334,1664.78,860.0866666666666,45.49333333333334,18.566666666666666,70.6,8.733333333333333,48.1,0.26666666666666666
2005,9.633,6.069,14.06433333333333,32.82000000000001,-10.413333333333334,1670.1233333333334,852.9,43.82000000000001,18.8,71.33333333333333,9.133333333333333,48.43333333333333,0.23333333333333334
2006,9.663999999999998,6.097999999999999,14.104999999999997,32.92333333333333,-10.389999999999999,1669.0800000000002,856.0233333333333,44.11333333333334,18.633333333333333,71.73333333333333,9.566666666666666,49.0,0.26666666666666666
2007,9.70133333333333,6.116666666666666,14.16433333333333,32.973333333333336,-10.413333333333334,1683.9000000000003,856.9366666666666,44.48666666666667,18.8,71.26666666666667,9.8,50.233333333333334,0.26666666666666666
2008,9.757666666666665,6.154999999999999,14.244666666666664,33.08666666666667,-10.376666666666667,1695.2983333333336,847.8833333333333,43.03333333333334,18.133333333333333,71.46666666666667,10.166666666666666,51.4,0.26666666666666666
2009,9.797666666666665,6.181333333333333,14.299333333333331,33.186666666666675,-10.41,1702.7316666666668,841.4233333333333,43.98666666666667,18.466666666666665,71.83333333333333,10.333333333333334,52.3,0.26666666666666666
2010,9.829,6.203999999999999,14.338999999999999,33.28666666666667,-10.366666666666667,1707.791666666667,844.7833333333332,44.56666666666668,18.5,71.86666666666666,10.8,52.9,0.26666666666666666
2011,9.883666666666667,6.249333333333334,14.409999999999998,33.43333333333334,-10.270000000000001,1719.861666666667,839.3299999999999,44.303333333333335,18.133333333333333,70.73333333333333,11.066666666666666,53.666666666666664,0.26666666666666666
2012,9.908666666666667,6.260666666666667,14.44833333333333,33.53,-10.446666666666667,1727.3716666666667,840.85,45.220000000000006,18.266666666666666,70.46666666666667,11.366666666666667,54.266666666666666,0.26666666666666666
2013,9.909333333333334,6.263666666666667,14.44,33.553333333333335,-10.353333333333335,1721.4783333333332,846.0733333333333,44.97,18.1,70.86666666666666,11.5,54.43333333333333,0.23333333333333334
2014,9.990000000000002,6.333666666666667,14.533666666666667,33.57333333333334,-10.420000000000003,1723.6650000000002,843.5766666666666,44.029999999999994,17.8,68.96666666666667,11.633333333333333,54.93333333333333,0.23333333333333334
2015,10.071333333333335,6.409,14.621,33.70333333333334,-10.003333333333334,1725.1516666666664,843.5433333333333,45.24333333333333,16.633333333333333,67.83333333333333,12.533333333333333,55.63333333333333,0.5333333333333333
2016,10.128000000000002,6.4670000000000005,14.686666666666667,33.72333333333333,-9.793333333333333,1725.935,842.9766666666667,45.12666666666666,15.666666666666666,66.96666666666667,12.833333333333334,56.13333333333333,0.5666666666666667
2017,10.189999999999998,6.509333333333333,14.767999999999999,33.843333333333334,-9.506666666666664,1742.4116666666666,847.4333333333332,45.78999999999999,15.2,66.23333333333333,13.5,56.9,0.6333333333333333
2018,10.254,6.553666666666667,14.853666666666667,33.98,-9.613333333333333,1759.5616666666667,834.7733333333332,45.8,15.4,66.1,14.433333333333334,59.0,0.8333333333333334
2019,10.294,6.575666666666668,14.903999999999998,34.166666666666664,-9.453333333333331,1771.0149999999996,838.3933333333333,45.323333333333345,14.933333333333334,65.86666666666666,15.033333333333333,59.2,0.9333333333333333
2020,10.332333333333334,6.599333333333334,14.951333333333332,34.21666666666667,-9.406666666666668,,833.6766666666667,44.87666666666667,14.466666666666667,65.9,15.266666666666667,60.166666666666664,0.9666666666666667
2021,10.345333333333333,6.587333333333334,14.976666666666665,34.2,-9.373333333333333,,842.8633333333332,45.28000000000001,13.766666666666667,66.03333333333333,15.133333333333333,59.666666666666664,0.9666666666666667
2022,10.386333333333335,6.581666666666667,15.043333333333331,34.26,-9.356666666666666,1793.0053571428568,842.0533333333333,46.63333333333334,13.266666666666667,66.63333333333334,15.2,60.333333333333336,0.9666666666666667
2023,10.450333333333331,6.603000000000002,15.123999999999999,34.38666666666666,-9.226666666666665,1810.448965517241,842.4066666666666,45.85333333333334,12.733333333333333,66.5,15.833333333333334,61.43333333333333,0.9666666666666667
2024,10.466333333333331,6.592000000000001,15.146999999999998,34.36333333333333,-9.28,1815.8455172413792,849.1700000000001,46.70666666666667,12.8,67.13333333333334,15.833333333333334,61.6,0.9333333333333333
